,Name,Record,Height,Weight,Reach,DOB,SLpM,Str Acc,SApM,Str Def,TD Avg,TD Acc,TD Def,Sub Avg,wins,draws,losses,age,STANCE_Orthodox,STANCE_Southpaw,STANCE_Switch,ELO
0,Sofia Montenegro,Record: 6-2-0,66.0,125.0,67.0,1999-06-18,4.27,0.4,5.67,0.48,1.0,0.25,1.0,0.0,6,0,2,26,True,False,False,-0.1643464505652249
4,Renato Sobral,Record: 37-11-0,73.0,205.0,75.0,1975-09-07,2.23,0.45,1.53,0.57,2.48,0.42,0.65,2.6,37,0,11,50,True,False,False,0.08685701198691562
6,Abdul-Kareem Al-Selwady,Record: 15-4-0,68.0,155.0,69.0,1995-04-10,4.14,0.34,3.6,0.59,2.32,0.3,0.2,0.0,15,0,4,30,True,False,False,1.0707452271720006
7,Paddy Pimblett,Record: 23-3-0,70.0,155.0,73.0,1995-01-03,5.19,0.53,3.14,0.42,0.96,0.28,0.5,1.7,23,0,3,30,True,False,False,1.5740837543095467
9,Raphael Pessoa,Record: 10-2-0,75.0,262.0,78.0,1989-03-09,2.16,0.26,3.43,0.42,0.0,0.0,1.0,0.0,10,0,2,36,True,False,False,-0.41696286111767716
10,Antonio Banuelos,Record: 20-11-1,65.0,135.0,63.0,1979-09-23,2.69,0.33,3.15,0.58,1.62,0.62,0.86,0.4,20,1,11,46,True,False,False,0.10469578488382456
13,John Dodson,Record: 22-12-0,63.0,135.0,66.0,1984-09-26,3.2,0.4,3.58,0.61,0.71,0.28,0.82,0.0,22,0,12,41,True,False,False,0.08698573834596003
20,Rich Clementi,Record: 45-23-1,69.0,155.0,72.0,1976-03-31,1.43,0.37,2.29,0.6,1.72,0.42,0.25,1.1,45,1,23,49,False,True,False,0.06805530039772223
24,John Maguire,Record: 24-9-0,69.0,155.0,69.0,1983-05-19,1.41,0.41,2.44,0.65,2.8,0.46,0.77,1.1,24,0,9,42,False,True,False,0.2793096670135702
25,Renan Barao,Record: 34-9-0 (1 NC),66.0,145.0,70.0,1987-01-31,3.78,0.36,3.9,0.57,1.49,0.41,0.91,0.5,34,0,9,38,True,False,False,0.464778410851449
26,Reyes Cortez Jr.,Record: 7-3-0,67.0,135.0,68.0,1992-07-31,4.1,0.45,7.43,0.52,1.5,0.11,1.0,0.0,7,0,3,33,True,False,False,-0.5203655334790552
29,Jamelle Jones,Record: 7-5-0,72.0,205.0,75.0,1988-01-31,1.78,0.8,3.11,0.65,0.0,0.0,0.0,0.0,7,0,5,37,True,False,False,0.0
30,Noad Lahat,Record: 11-2-0,69.0,145.0,69.0,1984-06-08,2.79,0.46,1.47,0.63,2.37,0.26,0.16,2.4,11,0,2,41,True,False,False,0.4508082780638349
31,Mallory Martin,Record: 7-5-0,64.0,115.0,63.0,1994-01-29,4.42,0.48,6.64,0.55,2.28,0.43,0.25,0.3,7,0,5,31,True,False,False,0.5644703565620108
33,Takashi Sato,Record: 16-7-0,70.0,170.0,73.0,1990-06-09,2.21,0.41,3.73,0.44,0.76,0.37,0.6,0.0,16,0,7,35,False,True,False,0.06412374471664904
34,Luis Pajuelo,Record: 8-2-0,70.0,145.0,69.0,1994-12-18,6.03,0.57,8.2,0.52,0.0,0.0,0.66,0.0,8,0,2,31,True,False,False,-0.6338564129752445
36,Glaico Franca Moreira,Record: 15-5-0,72.0,155.0,77.0,1991-02-28,2.35,0.42,3.46,0.47,2.68,0.42,0.76,0.3,15,0,5,34,True,False,False,0.5774257166419343
38,Dustin Joynson,Record: 5-0-0 (1 NC),78.0,244.0,78.0,1985-10-14,3.28,0.53,5.63,0.47,0.0,0.0,0.0,0.0,5,0,0,40,True,False,False,0.0
39,Hector Urbina,Record: 17-10-1,71.0,170.0,73.0,1987-09-17,0.97,0.38,2.44,0.39,0.0,0.0,0.38,3.8,17,1,10,38,True,False,False,0.36046790235530185
40,Shanna Young,Record: 9-6-0,67.0,125.0,65.0,1991-02-20,3.18,0.47,4.88,0.43,0.0,0.0,0.53,0.6,9,0,6,34,True,False,False,-0.2248575783792076
42,Pedro Munhoz,Record: 20-10-0 (2 NC),66.0,135.0,65.0,1986-09-07,5.38,0.41,6.29,0.55,0.48,0.16,0.82,0.5,20,0,10,39,True,False,False,-0.042885313330362364
43,Yanal Ashmouz,Record: 8-2-0,69.0,155.0,69.0,1995-03-31,2.88,0.5,4.78,0.5,3.24,0.38,0.64,0.0,8,0,2,30,True,False,False,0.4396753126851253
48,Vince Murdock,Record: 12-4-0 (1 NC),66.0,145.0,64.0,1991-03-21,1.21,0.21,7.17,0.4,0.0,0.0,0.0,0.0,12,0,4,34,True,False,False,0.0
50,Benardo Sopaj,Record: 12-3-0,66.0,135.0,66.0,2000-09-25,4.24,0.56,4.88,0.49,2.53,0.71,0.76,0.0,12,0,3,25,True,False,False,0.7505102420642262
51,TJ Grant,Record: 21-5-0,70.0,155.0,72.0,1984-02-26,3.95,0.54,3.21,0.56,1.63,0.43,0.36,0.6,21,0,5,41,True,False,False,0.4332109902400923
52,Ilir Latifi,Record: 17-9-0 (1 NC),70.0,230.0,73.0,1982-07-28,2.05,0.45,2.93,0.56,2.11,0.35,1.0,0.3,17,0,9,43,True,False,False,0.13574736203629842
54,Matt Arroyo,Record: 3-3-0,70.0,170.0,72.0,1982-09-01,1.62,0.47,2.01,0.58,2.12,0.36,1.0,5.3,3,0,3,43,True,False,False,0.15908813575492464
55,Greg Hardy,Record: 7-5-0 (1 NC),77.0,265.0,80.0,1988-07-28,4.79,0.5,3.31,0.55,0.2,0.33,0.64,0.0,7,0,5,37,True,False,False,0.30123784547313043
56,Carlos Vera,Record: 12-4-0,66.0,135.0,69.0,1987-11-05,1.53,0.57,2.79,0.49,0.0,0.0,0.25,1.6,12,0,4,38,True,False,False,0.1504250622564337
58,Alden Coria,Record: 11-3-0 (1 NC),68.0,125.0,67.0,1998-04-24,3.89,0.44,1.11,0.78,2.78,1.0,0.75,0.0,11,0,3,27,True,False,False,1.9811920603175353
59,Katsunori Kikuno,Record: 24-8-2,68.0,145.0,66.0,1981-10-31,2.64,0.4,2.47,0.61,1.88,0.75,0.76,0.8,24,2,8,44,True,False,False,0.2619275974820142
65,Rony Jason,Record: 14-7-0 (1 NC),67.0,145.0,73.0,1984-03-21,2.04,0.44,3.14,0.53,0.59,0.3,0.36,0.8,14,0,7,41,True,False,False,0.1570789977743841
66,Arman Tsarukyan,Record: 23-3-0,67.0,155.0,72.0,1996-10-11,3.85,0.5,1.8,0.54,3.26,0.37,0.75,0.1,23,0,3,29,True,False,False,2.197763676388717
68,Francimar Barroso,Record: 19-7-0 (1 NC),73.0,205.0,75.0,1980-02-28,2.77,0.52,3.07,0.59,2.22,0.24,0.83,0.0,19,0,7,45,True,False,False,0.1374031617093148
70,MinWoo Kim,Record: 10-2-0,68.0,135.0,72.0,1993-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,2,32,True,False,False,0.0
71,Dylan Mantello,Record: 8-4-0,73.0,155.0,73.0,1992-11-19,4.69,0.62,4.76,0.55,0.0,0.0,0.76,0.0,8,0,4,33,True,False,False,-0.12698993269270684
72,Adlan Amagov,Record: 14-2-1,74.0,170.0,76.0,1986-10-30,3.29,0.47,0.82,0.78,5.84,0.56,1.0,0.0,14,1,2,39,True,False,False,1.1913492271989372
73,Preston Parsons,Record: 11-6-0,71.0,170.0,71.0,1995-07-15,3.54,0.51,3.25,0.54,3.46,0.36,0.71,2.3,11,0,6,30,True,False,False,1.2392365236069636
74,Victor Valenzuela,Record: 12-4-0,69.0,170.0,71.0,1994-02-09,3.36,0.33,8.4,0.48,0.0,0.0,0.0,0.0,12,0,4,31,True,False,False,0.0
75,Elijah Smith,Record: 9-1-0,69.0,135.0,71.0,2002-09-05,4.45,0.47,3.4,0.47,3.51,0.53,0.57,0.9,9,0,1,23,True,False,False,1.1078176016479748
76,Mauricio Ruffy,Record: 12-2-0,71.0,155.0,75.0,1996-06-17,3.84,0.57,4.16,0.6,0.0,0.0,0.84,0.0,12,0,2,29,True,False,False,-0.26497609495621555
78,Kenji Osawa,Record: 20-11-2,67.0,135.0,66.0,1976-11-04,2.34,0.35,2.14,0.63,0.91,0.58,0.68,0.7,20,2,11,49,True,False,False,0.05992538795151377
79,Derrick Krantz,Record: 22-12-0,70.0,170.0,72.0,1988-01-13,2.07,0.37,4.03,0.5,3.18,0.5,0.0,0.8,22,0,12,37,True,False,False,0.8295718072125842
80,Hector Lombard,Record: 34-10-1 (2 NC),69.0,185.0,71.0,1978-02-02,3.02,0.46,3.35,0.53,1.69,0.48,0.77,0.5,34,1,10,47,False,True,False,0.09779170194129484
83,Uros Medic,Record: 12-3-0,73.0,170.0,71.0,1993-04-25,5.53,0.6,3.46,0.56,0.35,0.5,0.55,0.0,12,0,3,32,False,True,False,0.811586291281665
84,Dan Moret,Record: 13-6-0,72.0,155.0,73.0,1986-11-21,2.67,0.43,3.56,0.43,1.25,0.27,0.45,0.4,13,0,6,39,False,True,False,0.2513511863598028
86,Kleydson Rodrigues,Record: 8-4-0,65.0,135.0,67.0,1995-10-22,4.58,0.57,2.29,0.53,0.6,0.22,0.53,0.6,8,0,4,30,True,False,False,0.8276343054885227
87,Daichi Kamiya,Record: 6-1-0 (1 NC),68.0,155.0,68.0,1999-04-19,1.69,0.53,4.5,0.35,5.07,0.27,1.0,0.0,6,0,1,26,False,True,False,0.07267644141881342
88,James McSweeney,Record: 15-15-0,76.0,230.0,77.0,1980-10-24,3.94,0.55,4.33,0.42,0.52,0.33,1.0,1.1,15,0,15,45,False,False,True,0.057935284893434094
89,Felipe Colares,Record: 10-4-0,68.0,145.0,69.0,1994-03-31,2.17,0.45,4.65,0.36,1.88,0.24,0.43,0.5,10,0,4,31,True,False,False,0.35411660417472074
91,Augusto Montano,Record: 15-3-0,73.0,170.0,73.0,1984-10-25,3.46,0.46,2.66,0.56,0.0,0.0,0.66,0.0,15,0,3,41,True,False,False,0.058857526722797884
94,Dalcha Lungiambula,Record: 11-6-0,68.0,185.0,76.0,1987-07-31,3.07,0.45,3.93,0.52,2.14,0.45,0.77,0.0,11,0,6,38,True,False,False,0.3065666550845507
95,Diego Nunes,Record: 19-7-0,66.0,145.0,67.0,1982-11-30,2.72,0.43,2.59,0.58,1.18,0.44,0.65,0.6,19,0,7,43,True,False,False,0.2321721665807763
96,HanSeul Kim,Record: 13-6-0,73.0,170.0,73.0,1990-06-19,5.79,0.42,5.68,0.52,0.0,0.0,0.5,1.7,13,0,6,35,False,True,False,0.27998499765225293
97,Ronny Markes,Record: 17-5-0,73.0,185.0,75.0,1988-04-21,2.17,0.53,2.43,0.45,3.13,0.4,1.0,0.5,17,0,5,37,True,False,False,0.6806359318992978
99,Ken Stone,Record: 11-4-0,68.0,135.0,71.0,1982-10-08,3.85,0.49,2.9,0.48,1.24,0.33,0.6,0.6,11,0,4,43,False,True,False,0.2393467334257712
100,Taila Santos,Record: 19-3-0,66.0,125.0,68.0,1993-06-22,3.39,0.48,2.64,0.58,2.0,0.76,0.86,1.1,19,0,3,32,True,False,False,1.4854323682526966
101,Gabriel Silva,Record: 8-2-0,66.0,135.0,71.0,1994-08-26,1.3,0.34,3.47,0.45,1.5,0.25,0.38,0.5,8,0,2,31,True,False,False,0.34307788377828
105,Tim Means,Record: 33-17-1 (1 NC),74.0,170.0,75.0,1984-02-20,5.04,0.49,3.65,0.6,1.14,0.4,0.64,0.2,33,1,17,41,True,False,False,0.3980385000736958
110,Luigi Fioravanti,Record: 26-15-0,68.0,170.0,70.0,1981-01-22,2.23,0.42,2.21,0.69,3.76,0.63,0.67,0.9,26,0,15,44,True,False,False,0.28266187985984353
113,John Franchi,Record: 6-2-0,66.0,145.0,67.0,1982-07-16,1.83,0.48,2.59,0.48,2.68,0.8,0.4,0.3,6,0,2,43,True,False,False,0.19133088099760512
114,Anderson Silva,Record: 34-11-0 (1 NC),74.0,185.0,77.0,1975-04-14,3.05,0.61,2.05,0.6,0.5,0.77,0.69,0.8,34,0,11,50,False,True,False,0.06527845218186402
115,Yancy Medeiros,Record: 15-8-0 (1 NC),70.0,155.0,75.0,1987-09-07,4.36,0.37,5.67,0.47,0.33,0.5,0.73,0.7,15,0,8,38,True,False,False,0.04244002806218309
118,Liang Na,Record: 19-8-0,65.0,125.0,67.0,1996-07-27,1.99,0.42,3.95,0.36,3.6,0.58,0.25,0.5,19,0,8,29,True,False,False,1.1480538362891706
119,Kyung Ho Kang,Record: 19-11-0 (1 NC),69.0,135.0,73.0,1987-09-09,3.13,0.47,3.32,0.54,1.97,0.5,0.68,0.8,19,0,11,38,True,False,False,0.5423060966853088
120,Paul Kelly,Record: 14-5-0,69.0,155.0,70.0,1984-09-12,3.22,0.37,2.61,0.59,1.34,0.6,0.3,1.5,14,0,5,41,True,False,False,0.4240335765410213
121,Manny Bermudez,Record: 14-2-0,70.0,145.0,71.0,1994-07-16,2.92,0.61,2.68,0.46,3.06,0.54,0.0,3.1,14,0,2,31,True,False,False,1.3894538124258495
